Band0me,Band,WVL,5%,50%,95%,mean,stdv
const,0,0,-4.338118852,22.61311214,39.86873009,20.58771254,14.07091427
band_1,1,366,0,0,0,0,0
band_2,2,376,0,0,0,0,0
band_3,3,385,0,0,0,0,0
band_4,4,395,0,0,0,0,0
band_5,5,405,0,0,0,0,0
band_6,6,414,-22.12278641,-9.470916083,4.538766728,-9.031756715,8.114600945
band_7,7,424,-15.11424354,-7.729677696,-0.970977207,-7.892003451,4.315829604
band_8,8,434,-11.79620721,-6.301183425,-0.245912991,-6.199681163,3.4887444
band_9,9,443,-10.02441859,-5.299604419,-1.021499766,-5.431291321,2.688808889
band_10,10,453,-9.084500651,-4.054677067,1.445915914,-3.980850952,3.306534277
band_11,11,463,-8.827382314,-3.55270394,2.234413007,-3.486429574,3.348288456
band_12,12,472,-5.054881478,-0.575047895,3.969887007,-0.600726554,2.927423711
band_13,13,482,-4.35153526,0.228258239,4.88569077,0.256352326,2.862012441
band_14,14,492,-2.887952346,1.460818874,6.449374081,1.602067553,2.817617488
band_15,15,502,-2.509830597,1.640236822,5.889991998,1.648624454,2.543819567
band_16,16,511,-3.068779494,0.973074983,4.341383167,0.823752305,2.266848552
band_17,17,521,-5.616133979,-1.464624913,3.029207788,-1.452315519,2.698424014
band_18,18,531,-5.215283066,-0.521917528,4.096782343,-0.519338042,2.899410838
band_19,19,541,-7.314093063,-0.392957498,5.778148664,-0.456524477,3.887176898
band_20,20,550,-8.110166497,-1.178350072,5.083721371,-1.253488097,4.128967949
band_21,21,560,-7.132819293,0.3374834,6.60022987,0.121189723,4.334386549
band_22,22,570,-4.737262658,1.300375745,6.708506017,1.186490211,3.611202509
band_23,23,580,-0.710456958,4.690137983,9.079648259,4.424693419,3.184902443
band_24,24,589,-1.105104571,4.034847462,8.417442891,3.914019208,2.966528103
band_25,25,599,-0.639504955,4.374314173,8.526746651,4.209945832,2.871471592
band_26,26,609,2.44983052,6.512943169,10.32105001,6.460005978,2.516671475
band_27,27,619,3.573987976,7.812302716,11.70547314,7.786204187,2.470494858
